crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	37.145889	9904	0.000000
281474976710655.000000	40.345478	9905	0.000000
281474976710655.000000	36.961639	9906	0.000000
281474976710655.000000	53.121075	9907	0.000000
281474976710655.000000	39.344486	9908	0.000000
281474976710655.000000	47.974525	9909	0.000000
281474976710655.000000	48.344036	9910	0.000000
281474976710655.000000	47.065903	9911	0.000000
281474976710655.000000	47.352238	9912	0.000000
281474976710655.000000	36.296352	9913	0.000000
281474976710655.000000	48.579708	9914	0.000000
281474976710655.000000	47.974941	9915	0.000000
281474976710655.000000	39.801220	9916	0.000000
281474976710655.000000	44.860195	9917	0.000000
281474976710655.000000	38.766788	9918	0.000000
281474976710655.000000	47.036411	9919	0.000000
281474976710655.000000	38.802444	9920	0.000000
281474976710655.000000	47.270573	9921	0.000000
281474976710655.000000	40.861645	9922	0.000000
281474976710655.000000	40.697857	9923	0.000000
281474976710655.000000	38.524948	9924	0.000000
281474976710655.000000	51.433712	9925	0.000000
281474976710655.000000	46.621811	9926	0.000000
281474976710655.000000	44.799099	9927	0.000000
281474976710655.000000	35.818184	9928	0.000000
281474976710655.000000	45.967373	9929	0.000000
281474976710655.000000	47.167896	9930	0.000000
281474976710655.000000	46.219864	9931	0.000000
281474976710655.000000	35.311432	9932	0.000000
281474976710655.000000	45.493038	9933	0.000000
281474976710655.000000	35.664764	9934	0.000000
281474976710655.000000	45.879055	9935	0.000000
281474976710655.000000	62.043621	9936	0.000000
281474976710655.000000	45.399963	9937	0.000000
281474976710655.000000	45.096401	9938	0.000000
281474976710655.000000	45.517448	9939	0.000000
281474976710655.000000	46.166924	9940	0.000000
281474976710655.000000	45.705654	9941	0.000000
281474976710655.000000	42.430336	9942	0.000000
281474976710655.000000	34.557453	9943	0.000000
281474976710655.000000	44.455265	9944	0.000000
281474976710655.000000	40.964401	9945	0.000000
281474976710655.000000	60.246361	9946	0.000000
281474976710655.000000	45.377586	9947	0.000000
281474976710655.000000	44.509785	9948	0.000000
281474976710655.000000	44.688282	9949	0.000000
281474976710655.000000	47.108105	9950	0.000000
281474976710655.000000	44.392361	9951	0.000000
281474976710655.000000	60.778946	9952	0.000000
281474976710655.000000	49.410130	9953	0.000000
281474976710655.000000	48.861202	9954	0.000000
281474976710655.000000	60.066525	9955	0.000000
281474976710655.000000	44.290314	9956	0.000000
281474976710655.000000	43.326103	9957	0.000000
281474976710655.000000	42.649570	9958	0.000000
281474976710655.000000	43.982346	9959	0.000000
281474976710655.000000	45.408287	9960	0.000000
281474976710655.000000	44.123386	9961	0.000000
281474976710655.000000	49.464184	9962	0.000000
281474976710655.000000	43.956474	9963	0.000000
281474976710655.000000	51.581699	9964	0.000000
281474976710655.000000	45.061783	9965	0.000000
281474976710655.000000	36.094570	9966	0.000000
281474976710655.000000	41.433010	9967	0.000000
281474976710655.000000	38.095345	9968	0.000000
281474976710655.000000	36.082512	9969	0.000000
281474976710655.000000	36.545261	9970	0.000000
281474976710655.000000	37.140503	9971	0.000000
281474976710655.000000	37.660084	9972	0.000000
281474976710655.000000	44.147934	9973	0.000000
281474976710655.000000	43.418663	9974	0.000000
281474976710655.000000	56.289413	9975	0.000000
281474976710655.000000	43.063091	9976	0.000000
281474976710655.000000	44.502678	9977	0.000000
281474976710655.000000	35.278614	9978	0.000000
281474976710655.000000	35.576633	9979	0.000000
281474976710655.000000	53.135960	9980	0.000000
281474976710655.000000	42.573708	9981	0.000000
281474976710655.000000	42.461952	9982	0.000000
281474976710655.000000	57.845013	9983	0.000000
281474976710655.000000	41.975170	9984	0.000000
281474976710655.000000	42.690208	9985	0.000000
281474976710655.000000	40.712490	9986	0.000000
281474976710655.000000	41.866039	9987	0.000000
281474976710655.000000	52.437973	9988	0.000000
281474976710655.000000	42.455338	9989	0.000000
281474976710655.000000	52.444721	9990	0.000000
281474976710655.000000	35.753887	9991	0.000000
281474976710655.000000	52.450062	9992	0.000000
281474976710655.000000	41.612244	9993	0.000000
281474976710655.000000	34.873764	9994	0.000000
281474976710655.000000	40.090454	9995	0.000000
281474976710655.000000	51.314270	9996	0.000000
281474976710655.000000	41.346313	9997	0.000000
281474976710655.000000	41.717171	9998	0.000000
281474976710655.000000	42.044247	9999	0.000000
281474976710655.000000	41.254250	10000	0.000000
281474976710655.000000	43.141407	10001	0.000000
281474976710655.000000	40.799911	10002	0.000000
281474976710655.000000	38.740551	10003	0.000000
281474976710655.000000	37.438450	10004	0.000000
281474976710655.000000	39.310349	10005	0.000000
281474976710655.000000	51.116608	10006	0.000000
281474976710655.000000	39.270916	10007	0.000000
281474976710655.000000	42.012512	10008	0.000000
281474976710655.000000	34.230618	10009	0.000000
281474976710655.000000	50.480621	10010	0.000000
281474976710655.000000	41.119064	10011	0.000000
281474976710655.000000	34.015053	10012	0.000000
281474976710655.000000	34.510883	10013	0.000000
281474976710655.000000	40.742897	10014	0.000000
281474976710655.000000	40.749832	10015	0.000000
281474976710655.000000	40.760834	10016	0.000000
281474976710655.000000	44.654091	10017	0.000000
281474976710655.000000	54.482231	10018	0.000000
281474976710655.000000	40.286293	10019	0.000000
281474976710655.000000	40.528622	10020	0.000000
281474976710655.000000	40.500774	10021	0.000000
281474976710655.000000	33.637138	10022	0.000000
281474976710655.000000	41.851444	10023	0.000000
281474976710655.000000	40.086716	10024	0.000000
281474976710655.000000	37.954620	10025	0.000000
281474976710655.000000	39.861115	10026	0.000000
281474976710655.000000	46.500992	10027	0.000000
281474976710655.000000	33.666553	10028	0.000000
281474976710655.000000	39.658203	10029	0.000000
281474976710655.000000	40.037071	10030	0.000000
281474976710655.000000	38.628010	10031	0.000000
281474976710655.000000	39.651516	10032	0.000000
281474976710655.000000	32.885651	10033	0.000000
281474976710655.000000	40.478981	10034	0.000000
281474976710655.000000	39.576733	10035	0.000000
281474976710655.000000	39.449631	10036	0.000000
281474976710655.000000	33.405060	10037	0.000000
281474976710655.000000	34.541523	10038	0.000000
281474976710655.000000	39.010857	10039	0.000000
281474976710655.000000	39.343857	10040	0.000000
281474976710655.000000	40.409634	10041	0.000000
281474976710655.000000	34.009800	10042	0.000000
281474976710655.000000	39.850628	10043	0.000000
281474976710655.000000	39.363754	10044	0.000000
281474976710655.000000	39.213169	10045	0.000000
281474976710655.000000	38.790489	10046	0.000000
281474976710655.000000	38.421036	10047	0.000000
281474976710655.000000	38.490887	10048	0.000000
281474976710655.000000	34.098465	10049	0.000000
281474976710655.000000	38.970993	10050	0.000000
281474976710655.000000	39.746738	10051	0.000000
281474976710655.000000	33.459858	10052	0.000000
281474976710655.000000	38.656784	10053	0.000000
281474976710655.000000	38.082558	10054	0.000000
281474976710655.000000	42.479443	10055	0.000000
281474976710655.000000	38.588554	10056	0.000000
281474976710655.000000	33.326710	10057	0.000000
281474976710655.000000	32.251694	10058	0.000000
281474976710655.000000	45.555988	10059	0.000000
281474976710655.000000	33.317719	10060	0.000000
281474976710655.000000	38.247177	10061	0.000000
281474976710655.000000	38.190445	10062	0.000000
281474976710655.000000	44.610554	10063	0.000000
281474976710655.000000	38.571690	10064	0.000000
281474976710655.000000	38.740376	10065	0.000000
281474976710655.000000	43.716545	10066	0.000000
281474976710655.000000	35.998219	10067	0.000000
281474976710655.000000	37.604057	10068	0.000000
281474976710655.000000	37.994339	10069	0.000000
281474976710655.000000	37.680080	10070	0.000000
281474976710655.000000	38.268600	10071	0.000000
281474976710655.000000	41.483837	10072	0.000000
281474976710655.000000	37.966114	10073	0.000000
281474976710655.000000	37.771015	10074	0.000000
281474976710655.000000	37.581726	10075	0.000000
281474976710655.000000	40.642242	10076	0.000000
281474976710655.000000	37.387024	10077	0.000000
281474976710655.000000	32.946285	10078	0.000000
281474976710655.000000	36.789268	10079	0.000000
281474976710655.000000	43.846657	10080	0.000000
281474976710655.000000	37.294048	10081	0.000000
281474976710655.000000	45.991844	10082	0.000000
281474976710655.000000	36.867607	10083	0.000000
281474976710655.000000	36.923782	10084	0.000000
281474976710655.000000	37.200512	10085	0.000000
281474976710655.000000	37.667465	10086	0.000000
281474976710655.000000	36.611561	10087	0.000000
281474976710655.000000	38.146416	10088	0.000000
281474976710655.000000	36.760937	10089	0.000000
281474976710655.000000	36.889278	10090	0.000000
281474976710655.000000	32.566174	10091	0.000000
281474976710655.000000	40.406334	10092	0.000000
281474976710655.000000	31.580929	10093	0.000000
281474976710655.000000	36.452835	10094	0.000000
281474976710655.000000	36.603336	10095	0.000000
281474976710655.000000	30.168077	10096	0.000000
281474976710655.000000	40.497299	10097	0.000000
281474976710655.000000	43.005859	10098	0.000000
281474976710655.000000	32.355171	10099	0.000000
281474976710655.000000	36.556911	10100	0.000000
281474976710655.000000	36.163300	10101	0.000000
281474976710655.000000	34.239548	10102	0.000000
281474976710655.000000	36.278111	10103	0.000000
281474976710655.000000	37.202221	10104	0.000000
281474976710655.000000	35.842785	10105	0.000000
281474976710655.000000	38.738636	10106	0.000000
281474976710655.000000	35.810246	10107	0.000000
281474976710655.000000	35.549469	10108	0.000000
281474976710655.000000	36.148556	10109	0.000000
281474976710655.000000	32.350441	10110	0.000000
281474976710655.000000	31.332914	10111	0.000000
281474976710655.000000	35.617428	10112	0.000000
281474976710655.000000	37.521301	10113	0.000000
281474976710655.000000	31.741066	10114	0.000000
281474976710655.000000	33.742168	10115	0.000000
281474976710655.000000	38.534409	10116	0.000000
281474976710655.000000	31.910122	10117	0.000000
281474976710655.000000	35.515427	10118	0.000000
281474976710655.000000	35.652958	10119	0.000000
281474976710655.000000	33.049873	10120	0.000000
281474976710655.000000	35.444004	10121	0.000000
281474976710655.000000	37.937302	10122	0.000000
281474976710655.000000	35.168949	10123	0.000000
281474976710655.000000	35.254871	10124	0.000000
281474976710655.000000	38.400520	10125	0.000000
281474976710655.000000	33.897316	10126	0.000000
281474976710655.000000	36.637726	10127	0.000000
281474976710655.000000	34.960754	10128	0.000000
281474976710655.000000	30.565493	10129	0.000000
281474976710655.000000	38.329082	10130	0.000000
281474976710655.000000	29.311152	10131	0.000000
281474976710655.000000	31.002106	10132	0.000000
281474976710655.000000	36.786797	10133	0.000000
281474976710655.000000	33.107311	10134	0.000000
281474976710655.000000	31.295103	10135	0.000000
281474976710655.000000	34.350830	10136	0.000000
281474976710655.000000	34.243603	10137	0.000000
281474976710655.000000	29.808529	10138	0.000000
281474976710655.000000	34.468708	10139	0.000000
281474976710655.000000	28.865339	10140	0.000000
281474976710655.000000	35.910049	10141	0.000000
281474976710655.000000	32.656769	10142	0.000000
281474976710655.000000	40.253178	10143	0.000000
281474976710655.000000	32.169113	10144	0.000000
281474976710655.000000	37.440937	10145	0.000000
281474976710655.000000	34.394176	10146	0.000000
281474976710655.000000	36.471764	10147	0.000000
281474976710655.000000	30.948442	10148	0.000000
281474976710655.000000	34.177368	10149	0.000000
281474976710655.000000	29.857880	10150	0.000000
281474976710655.000000	34.138092	10151	0.000000
281474976710655.000000	30.599201	10152	0.000000
281474976710655.000000	30.851507	10153	0.000000
281474976710655.000000	33.928524	10154	0.000000
281474976710655.000000	36.674614	10155	0.000000
281474976710655.000000	33.638145	10156	0.000000
281474976710655.000000	31.572153	10157	0.000000
281474976710655.000000	33.540924	10158	0.000000
281474976710655.000000	33.552315	10159	0.000000
281474976710655.000000	33.621246	10160	0.000000
281474976710655.000000	28.942394	10161	0.000000
281474976710655.000000	30.042767	10162	0.000000
281474976710655.000000	30.090979	10163	0.000000
281474976710655.000000	33.505661	10164	0.000000
281474976710655.000000	30.243546	10165	0.000000
281474976710655.000000	33.221939	10166	0.000000
281474976710655.000000	36.926456	10167	0.000000
281474976710655.000000	28.709541	10168	0.000000
281474976710655.000000	34.323868	10169	0.000000
281474976710655.000000	33.092278	10170	0.000000
281474976710655.000000	33.337654	10171	0.000000
281474976710655.000000	36.266205	10172	0.000000
281474976710655.000000	27.309511	10173	0.000000
281474976710655.000000	37.999352	10174	0.000000
281474976710655.000000	32.918640	10175	0.000000
281474976710655.000000	32.043503	10176	0.000000
281474976710655.000000	30.200638	10177	0.000000
281474976710655.000000	32.996792	10178	0.000000
281474976710655.000000	33.429153	10179	0.000000
281474976710655.000000	30.673700	10180	0.000000
281474976710655.000000	27.824785	10181	0.000000
281474976710655.000000	31.632322	10182	0.000000
281474976710655.000000	32.235649	10183	0.000000
281474976710655.000000	31.500149	10184	0.000000
281474976710655.000000	30.663866	10185	0.000000
281474976710655.000000	33.550884	10186	0.000000
